scenario_id,rho_hat,rho_true,epsilon,policy,n_paths,mean_wealth,median_wealth,std_wealth,cvar_5,certainty_equivalent,mean_abs_inventory,inventory_variance,fill_rate,spread_capture,adverse_selection
rho0.300_eps0.0200,0.3,0.34199999999999997,0.02,liquidity_guard,160,-7.659343505354404,-6.317176671443935,5.564965426139633,-22.883671258604792,-7.982129425630286,2.48125,9.528891509433961,0.0268625,0.737201949708455,2.1493477711932014
rho0.300_eps0.0200,0.3,0.34199999999999997,0.02,known_true_gamma_no_ambiguity,160,-7.659508281360203,-6.31735465734052,5.564967862336642,-22.883829777293926,-7.982294449252725,2.48125,9.528891509433961,0.0268625,0.7370371737026635,2.1493477711932014
rho0.500_eps0.0050,0.5,0.51,0.005,as_poisson,160,-9.983932468151174,-7.547281466256184,7.646834831278015,-31.96760463990219,-10.61324738263013,2.88125,12.691470125786163,0.03650625,1.0771574112426037,2.9170997236280223
rho0.500_eps0.0050,0.5,0.51,0.005,nominal_hawkes,160,-9.98386697939373,-7.547209608268023,7.646829506774833,-31.967535231618044,-10.613181033961588,2.88125,12.691470125786163,0.03650625,1.0772229,2.9170997236280223
rho0.500_eps0.0050,0.5,0.51,0.005,robust_vol_only,160,-9.983856954393739,-7.5471986082680225,7.646828691704301,-31.967524606617992,-10.613170877327152,2.88125,12.691470125786163,0.03650625,1.0772329250000001,2.9170997236280223
rho0.500_eps0.0050,0.5,0.51,0.005,robust_gamma,160,-9.983826879393828,-7.547165608268134,7.646826246497386,-31.967492731618137,-10.61314040742465,2.88125,12.691470125786163,0.03650625,1.0772629999999999,2.9170997236280223
rho0.500_eps0.0050,0.5,0.51,0.005,robust_gamma_abs,160,-9.980541048899092,-7.547033608268183,7.649204185034455,-31.967365231618174,-10.61023120918109,2.88125,12.691470125786163,0.03650625,1.0773833000000002,2.9171021810836195
rho0.500_eps0.0050,0.5,0.51,0.005,liquidity_guard,160,-9.980541048899092,-7.547033608268183,7.649204185034455,-31.967365231618174,-10.61023120918109,2.88125,12.691470125786163,0.03650625,1.0773833000000002,2.9171021810836195
rho0.500_eps0.0050,0.5,0.51,0.005,known_true_gamma_no_ambiguity,160,-9.983860365649509,-7.547202351291762,7.646828969052301,-31.9675282220388,-10.6131743333748,2.88125,12.691470125786163,0.03650625,1.0772295137442733,2.9170997236280223
rho0.500_eps0.0200,0.5,0.53,0.02,as_poisson,160,-9.469401695169864,-7.23198502722703,7.6366704209029805,-33.88225301224034,-10.130499122147109,2.65625,11.143042452830189,0.038106249999999994,1.0703793269230772,3.045473910663712
