ticker,event_group,beta_fixed,n_events_raw,mu,rho,neg_loglik,success,n_events_fit,horizon,event_rate_fit,residual_mean,residual_variance,residual_ks_stat,residual_ks_pvalue
MSFT,all,20.0,411409,0.3864588221151109,0.6985756291237769,-48161.03702745958,True,30000,23399.868323966002,1.2820584964264172,1.0000218472179927,3.115534960384464,0.3777520473145389,0.0
MSFT,all,100.0,411409,0.45425414450500795,0.6457129321001588,-65863.49930489076,True,30000,23399.868323966002,1.2820584964264172,1.0000409823905079,2.149993510433285,0.21389554225460022,0.0
MSFT,limit,1.0,205695,0.21570546092222212,0.8319312836968403,-9432.979147575039,True,30000,23399.528187933996,1.2820771324555829,1.0000448192754108,6.300178003306534,0.5648110708260513,0.0
MSFT,limit,5.0,205695,0.31706298371508096,0.7527111648132464,-31467.734300098244,True,30000,23399.528187933996,1.2820771324555829,1.0000147215821635,5.136410593896939,0.5130110930192764,0.0
MSFT,limit,20.0,205695,0.3735779724073913,0.708615847343404,-52467.24723628875,True,30000,23399.528187933996,1.2820771324555829,1.0000104954009161,3.959612305918474,0.4277396419087326,0.0
MSFT,limit,100.0,205695,0.419691473176564,0.6726143084314153,-74381.39023968673,True,30000,23399.528187933996,1.2820771324555829,0.999977969534148,2.582679764900607,0.26850438456988734,0.0
MSFT,cancel_delete,1.0,172300,0.2072091110956602,0.8385585403076501,-8289.812344514201,True,30000,23399.658455762998,1.2820699950264203,1.0000428217924766,4.9220948383328,0.4819982292007365,0.0
MSFT,cancel_delete,5.0,172300,0.3129575231922368,0.755920264824193,-27600.7778605136,True,30000,23399.658455762998,1.2820699950264203,1.0000203611157636,3.6414945917017265,0.41304463628353866,0.0
MSFT,cancel_delete,20.0,172300,0.39508215040458156,0.6918702917918778,-43966.18934866729,True,30000,23399.658455762998,1.2820699950264203,1.0000398907257424,2.858864691742584,0.32786628455147576,0.0
MSFT,cancel_delete,100.0,172300,0.48248027717944736,0.6237163779779927,-57592.086868360115,True,30000,23399.658455762998,1.2820699950264203,1.0000580464374333,2.1038371484276115,0.1592678770339368,0.0
MSFT,execution,1.0,33414,0.08897559714276884,0.9309144841377057,-25522.369612943672,True,30000,23399.867945971004,1.2820585171364358,1.000033977438674,15.145504517662438,0.7805086461228313,0.0
MSFT,execution,5.0,33414,0.1280392138961603,0.9001856633203253,-56946.6038461751,True,30000,23399.867945971004,1.2820585171364358,1.0000507662771791,13.766508566363983,0.7467452428074048,0.0
MSFT,execution,20.0,33414,0.15793623058205766,0.8767733284081729,-86110.73757845069,True,30000,23399.867945971004,1.2820585171364358,0.9999669895146748,11.916479658982771,0.7059869684845765,0.0
MSFT,execution,100.0,33414,0.18627457738307382,0.8546538844944528,-119815.3374629947,True,30000,23399.867945971004,1.2820585171364358,0.9999520783690331,9.883644664125582,0.6799712007589729,0.0
