state_variable,state_bucket,n_events,residual_mean,residual_mean_minus_one,residual_variance,residual_ks_stat,residual_ks_pvalue,mark_log_loss,baseline_mark_log_loss,mark_log_loss_improvement,ticker,beta_fixed,spectral_radius,n_events_fit,size_threshold,spread_threshold,depth_threshold
imbalance_bucket,bid_heavy,12706,1.0369286190104108,0.03692861901041078,1.790436054672714,0.04145257770292435,2.173660729551945e-19,1.6521681852023276,1.7646149324872664,0.11244674728493886,AAPL,100.0,0.3687475368594672,30000,100.0,0.14999999999997726,208.0
imbalance_bucket,neutral,6858,0.9678704354332951,-0.032129564566704905,1.6943144472779517,0.060862649256536616,1.720062473993674e-22,1.6481855950828181,1.7414049839590782,0.09321938887626002,AAPL,100.0,0.3687475368594672,30000,100.0,0.14999999999997726,208.0
depth_bucket,high,14907,0.9709792468634515,-0.029020753136548505,1.5644291328826088,0.060459316843850086,9.367563592207543e-48,1.636808673411794,1.7401996849569819,0.10339101154518793,AAPL,100.0,0.3687475368594672,30000,100.0,0.14999999999997726,208.0
depth_bucket,low,15092,1.0292630888901506,0.029263088890150613,1.8234330376909773,0.04343079719860113,3.757234056752613e-25,1.6638748933653142,1.7618171145603758,0.09794222119506157,AAPL,100.0,0.3687475368594672,30000,100.0,0.14999999999997726,208.0
event_group,cancel_delete,9574,0.9799742626226701,-0.020025737377329933,1.8151984780519708,0.11290714528605207,1.9503598423261064e-106,1.7340013771229519,1.8352512282649618,0.1012498511420099,AMZN,100.0,0.5473364111346355,30000,100.0,0.12999999999999545,233.0
event_group,execution,5920,1.0169268153704252,0.016926815370425174,2.2179468926123564,0.1886463784883583,2.035494477528813e-183,1.8253783129693542,2.3153131984616837,0.48993488549232955,AMZN,100.0,0.5473364111346355,30000,100.0,0.12999999999999545,233.0
event_group,limit,14505,1.0064954366558836,0.006495436655883591,2.188674374938901,0.15224796394116746,1.8447923189081755e-292,1.3434447346713119,1.4169465874136278,0.07350185274231591,AMZN,100.0,0.5473364111346355,30000,100.0,0.12999999999999545,233.0
side,buy,14395,1.0016322949436653,0.0016322949436653467,1.9792161843256506,0.1430732258958185,2.2821751047692875e-256,1.6174691637476266,1.7779421023931858,0.16047293864555923,AMZN,100.0,0.5473364111346355,30000,100.0,0.12999999999999545,233.0
side,sell,15604,0.9986669930993263,-0.0013330069006737277,2.1641158497649133,0.14822815691173835,3.2356613907325087e-298,1.5131226648047942,1.6814075288891743,0.16828486408438015,AMZN,100.0,0.5473364111346355,30000,100.0,0.12999999999999545,233.0
size_bucket,large,3249,1.092821527746488,0.09282152774648811,1.7550792290399932,0.06439798434027638,3.960261194009823e-12,1.6086302671191504,1.6919549094240076,0.08332464230485725,AMZN,100.0,0.5473364111346355,30000,100.0,0.12999999999999545,233.0
size_bucket,small,26750,0.9888268972855183,-0.011173102714481686,2.113117269137096,0.1564821572564229,0.0,1.5576745770426537,1.7320746969726348,0.17440011992998117,AMZN,100.0,0.5473364111346355,30000,100.0,0.12999999999999545,233.0
spread_bucket,tight,15269,1.1104430575492148,0.1104430575492148,2.596749159802311,0.13393395314035622,2.4805436567964624e-238,1.5879468172296083,1.7405012312572818,0.15255441402767356,AMZN,100.0,0.5473364111346355,30000,100.0,0.12999999999999545,233.0
spread_bucket,wide,14730,0.8856986829814657,-0.1143013170185343,1.509250233556834,0.16044258439482467,0.0,1.537533925423096,1.7144905868750273,0.17695666145193134,AMZN,100.0,0.5473364111346355,30000,100.0,0.12999999999999545,233.0
imbalance_bucket,ask_heavy,10365,0.9687534440265073,-0.031246555973492685,2.050037142140394,0.15702767063629797,2.040383323370738e-222,1.5479896218399334,1.720069159172048,0.17207953733211467,AMZN,100.0,0.5473364111346355,30000,100.0,0.12999999999999545,233.0
imbalance_bucket,bid_heavy,13910,1.0039352373683783,0.003935237368378308,2.0724218962798573,0.1477249402578582,4.346047837771062e-264,1.5709491060680079,1.7419057817459835,0.17095667567797568,AMZN,100.0,0.5473364111346355,30000,100.0,0.12999999999999545,233.0
imbalance_bucket,neutral,5724,1.0474891766085004,0.04748917660850038,2.1248398050396937,0.1250296320400372,3.7998723858728687e-78,1.5718763413669108,1.7071511855051842,0.1352748441382734,AMZN,100.0,0.5473364111346355,30000,100.0,0.12999999999999545,233.0
depth_bucket,high,15019,0.9923937421003729,-0.0076062578996271,1.928032312721268,0.14617586908660385,3.599829238034736e-279,1.562524316090385,1.7197307939012945,0.15720647781090946,AMZN,100.0,0.5473364111346355,30000,100.0,0.12999999999999545,233.0
depth_bucket,low,14980,1.0078060769980273,0.007806076998027267,2.223021058736687,0.14576221546848567,7.102019141930925e-277,1.5638639499599203,1.7357491889941952,0.17188523903427488,AMZN,100.0,0.5473364111346355,30000,100.0,0.12999999999999545,233.0
event_group,cancel_delete,8195,1.0765305769418927,0.07653057694189269,2.017685623132323,0.14739619821733185,4.5294897935179036e-155,1.8304312982133513,1.9905487197666831,0.16011742155333186,GOOG,100.0,0.6237547064140724,30000,100.0,0.2899999999999636,209.0
event_group,execution,7094,0.8681331180475318,-0.1318668819524682,2.005947594028733,0.3150502689620155,0.0,1.4562530009041679,2.1347539093151604,0.6785009084109925,GOOG,100.0,0.6237547064140724,30000,100.0,0.2899999999999636,209.0
event_group,limit,14710,1.0209797952609878,0.02097979526098781,1.92797537642385,0.1979610244612396,0.0,1.2226958053727464,1.4014737722419468,0.17877796686920044,GOOG,100.0,0.6237547064140724,30000,100.0,0.2899999999999636,209.0
side,buy,14290,0.9450205854333112,-0.054979414566688756,1.891045388567229,0.2285744229152025,0.0,1.482003246760375,1.8014396182799737,0.3194363715195987,GOOG,100.0,0.6237547064140724,30000,100.0,0.2899999999999636,209.0
side,sell,15709,1.050033295557649,0.050033295557649016,2.0495195861865545,0.19551267743469214,0.0,1.4093240930740294,1.6760836485853916,0.2667595555113622,GOOG,100.0,0.6237547064140724,30000,100.0,0.2899999999999636,209.0
size_bucket,large,1546,1.2939405305020415,0.2939405305020415,2.846826007291826,0.1630629127855267,3.941000817484193e-36,1.575700687914095,1.744471170298582,0.1687704823844871,GOOG,100.0,0.6237547064140724,30000,100.0,0.2899999999999636,209.0
size_bucket,small,28453,0.9840398251713693,-0.015960174828630658,1.9245870589660152,0.21400183900907535,0.0,1.4367857628647416,1.7353255456917422,0.29853978282700067,GOOG,100.0,0.6237547064140724,30000,100.0,0.2899999999999636,209.0
spread_bucket,tight,15412,1.1055529082314388,0.10555290823143881,2.342034809388386,0.20528228025672093,0.0,1.4576167433230494,1.7458728353573139,0.2882560920342645,GOOG,100.0,0.6237547064140724,30000,100.0,0.2899999999999636,209.0
spread_bucket,wide,14587,0.8884990597171587,-0.1115009402828413,1.5666638344485917,0.21981159318757748,0.0,1.4294995082066804,1.7251510277865105,0.29565151957983016,GOOG,100.0,0.6237547064140724,30000,100.0,0.2899999999999636,209.0
imbalance_bucket,ask_heavy,10690,1.0553014144770618,0.05530141447706183,2.140670791448012,0.19274310545554946,0.0,1.463408228827835,1.7458908375067743,0.2824826086789394,GOOG,100.0,0.6237547064140724,30000,100.0,0.2899999999999636,209.0
imbalance_bucket,bid_heavy,11351,0.9827340730895633,-0.017265926910436713,2.006762257958384,0.22642941154215715,0.0,1.4607155752272918,1.7581025201503273,0.2973869449230355,GOOG,100.0,0.6237547064140724,30000,100.0,0.2899999999999636,209.0
