ticker,event_group,event_types,beta_pair,n_events_raw,event_share,mu,rho,rho_slow,rho_fast,fast_share,beta_slow,beta_fast,neg_loglik,aic,success,n_events_fit,horizon,event_rate_fit,residual_mean,residual_variance,residual_ks_stat,residual_ks_pvalue
AMZN,execution,"4,5","1,100",11419,0.1985395114318004,0.11105053110828662,0.7726407850185878,0.13558691785676538,0.6370538671618224,0.8245149356780286,1.0,100.0,-17071.08735904754,-34136.17471809508,True,11419,23399.528379662996,0.4880012885184679,1.000089065875344,2.3508721492208435,0.3420763222639489,0.0
AMZN,execution,"4,5","5,100",11419,0.1985395114318004,0.13912149582726255,0.7150480783278358,0.08680001198893947,0.6282480663388963,0.8786095444212307,5.0,100.0,-16743.072379824625,-33480.14475964925,True,11419,23399.528379662996,0.4880012885184679,1.0000869066747047,2.445101494916871,0.342478372813766,0.0
AMZN,execution,"4,5","1,20",11419,0.1985395114318004,0.11630378020255512,0.7618501843647385,0.08032552833052568,0.6815246560342129,0.8945651914523006,1.0,20.0,-9738.424611740225,-19470.84922348045,True,11419,23399.528379662996,0.4880012885184679,1.0000883689284266,3.076766874689062,0.42049142478650275,0.0
GOOG,all,all,"1,100",49482,1.0,0.33467127817373626,0.739022687007375,0.1742477813461824,0.5647749056611925,0.7642186303484299,1.0,100.0,-43697.181181919936,-87388.36236383987,True,30000,23399.305662676,1.2820893248919218,1.00002574136971,1.697530954311315,0.2177675271126816,0.0
GOOG,all,all,"5,100",49482,1.0,0.4281549374868029,0.6660719084363487,0.10955785549926474,0.5565140529370839,0.8355164748556058,5.0,100.0,-42997.57456130807,-85989.14912261615,True,30000,23399.305662676,1.2820893248919218,1.0000327916130383,1.7624230561272984,0.21887284465657203,0.0
GOOG,all,all,"1,20",49482,1.0,0.3555083416673998,0.7227494622670783,0.0957479730730473,0.627001489194031,0.8675225952120246,1.0,20.0,-30164.161918680704,-60322.32383736141,True,30000,23399.305662676,1.2820893248919218,1.00002416540761,2.3293510575333682,0.30920110282621394,0.0
GOOG,limit,1,"1,100",24368,0.49246190533931533,0.3298541045134239,0.6833213151366714,0.189101025417746,0.49422028971892534,0.7232619249116737,1.0,100.0,-23204.006167012176,-46402.01233402435,True,24368,23399.166564423,1.0414046129766883,1.0000423517115273,1.5293456704448098,0.18957971759954348,0.0
GOOG,limit,1,"5,100",24368,0.49246190533931533,0.41633800714223684,0.600252103923845,0.11231055626910957,0.4879415476547354,0.8128943563297221,5.0,100.0,-22600.368537646435,-45194.73707529287,True,24368,23399.166564423,1.0414046129766883,1.0000529696848148,1.602869830424924,0.19080954286953572,0.0
GOOG,limit,1,"1,20",24368,0.49246190533931533,0.3497244732090749,0.6642250068086619,0.10708766872642726,0.5571373380822346,0.8387780230663987,1.0,20.0,-14043.751023385063,-28081.502046770125,True,24368,23399.166564423,1.0414046129766883,1.0000408774837835,1.9577487671329785,0.268837696427917,0.0
GOOG,cancel_delete,"2,3","1,100",13436,0.27153308273715693,0.19382097352483232,0.6625594460954135,0.2253595646046502,0.43719988149076333,0.6598651397504991,1.0,100.0,-4252.279520755712,-8498.559041511424,True,13436,23395.670190521003,0.574294298499888,1.0000744400337465,1.354744920838494,0.13574536697519637,1.8602317713780493e-215
GOOG,cancel_delete,"2,3","5,100",13436,0.27153308273715693,0.2404392966959003,0.5813734943353602,0.15928449321218166,0.42208900112317854,0.7260203728512263,5.0,100.0,-3842.9740862121253,-7679.9481724242505,True,13436,23395.670190521003,0.574294298499888,1.000073790864514,1.434054672827977,0.1367230362972728,1.4487749119481788e-218
GOOG,cancel_delete,"2,3","1,20",13436,0.27153308273715693,0.20480657939669386,0.6434273802633034,0.13482792318384795,0.5085994570794554,0.7904535502846123,1.0,20.0,-331.9183318120304,-657.8366636240607,True,13436,23395.670190521003,0.574294298499888,1.0000743997914843,1.6306269896357908,0.20798969477104934,0.0
GOOG,execution,"4,5","1,100",11678,0.23600501192352774,0.10731890988654079,0.7851174456796424,0.10097672095780776,0.6841407247218346,0.8713864766176523,1.0,100.0,-23034.370116540318,-46062.740233080636,True,11678,23398.942648953995,0.49908238056739895,1.0000876051527214,3.051965258763849,0.4151715965969973,0.0
GOOG,execution,"4,5","5,100",11678,0.23600501192352774,0.1296632016319541,0.7402632950197633,0.06106674227528757,0.6791965527444758,0.9175067267469244,5.0,100.0,-22739.50151407813,-45473.00302815626,True,11678,23398.942648953995,0.49908238056739895,1.0000836521513277,3.0939966914389956,0.41540788005003726,0.0
GOOG,execution,"4,5","1,20",11678,0.23600501192352774,0.11054060782230818,0.7786320071148767,0.06041361151522273,0.718218395599654,0.922410572692641,1.0,20.0,-13757.184712601804,-27508.369425203608,True,11678,23398.942648953995,0.49908238056739895,1.0000863263977169,4.000457806643753,0.49167375161490257,0.0
INTC,all,all,"1,100",404986,1.0,0.3819182321522263,0.7021598567025832,0.12397348113397245,0.5781863755686107,0.8234398051233447,1.0,100.0,-58422.495061652706,-116838.99012330541,True,30000,23399.943103891,1.2820543993122584,1.0000371172597806,1.6923505340737828,0.16420735305976875,0.0
INTC,all,all,"5,100",404986,1.0,0.45687974975179285,0.6436586519768718,0.07245394222850146,0.5712047097483703,0.8874342137622584,5.0,100.0,-57833.56744420732,-115661.13488841464,True,30000,23399.943103891,1.2820543993122584,1.0000349162054056,1.7642935109630449,0.1651011719226483,0.0
INTC,all,all,"1,20",404986,1.0,0.39392746911984844,0.6927749792696798,0.06828638563970438,0.6244885936299754,0.9014306409973242,1.0,20.0,-41609.857931429855,-83213.71586285971,True,30000,23399.943103891,1.2820543993122584,1.0000323537905624,2.7152090463366836,0.3315307738491489,0.0
INTC,limit,1,"1,100",202231,0.4993530640565353,0.40012348394841113,0.6879473067936573,0.10209601099064386,0.5858512958030134,0.8515932688704215,1.0,100.0,-60889.8228377861,-121773.6456755722,True,30000,23399.933605998,1.2820549196904658,1.000033359719432,1.9435876226341504,0.19361720464025012,0.0
INTC,limit,1,"5,100",202231,0.4993530640565353,0.46856600636739876,0.6345414721656837,0.053023985891661095,0.5815174862740226,0.916437320147585,5.0,100.0,-60374.02531529764,-120742.05063059527,True,30000,23399.933605998,1.2820549196904658,1.0000336808824368,1.9950282056073072,0.1941592688812514,0.0
