symbol,date,event_group,beta_fixed,n_events_raw,event_share,mu,rho,neg_loglik,aic,success,n_events_fit,horizon,event_rate_fit,residual_mean,residual_variance,residual_ks_stat,residual_ks_pvalue
ETHUSDT,2024-01-15,sell_aggressor,1.0,288950,0.4836655133683842,0.22139577169936528,0.6812348109387153,41627.129207145554,83258.25841429111,True,60000,86399.99428890704,0.694444490347651,1.0000181607315817,2.399845699142838,0.35919754428082024,0.0
ETHUSDT,2024-01-15,sell_aggressor,5.0,288950,0.4836655133683842,0.2831004069276875,0.5923609142954351,16290.356676019372,32584.713352038743,True,60000,86399.99428890704,0.694444490347651,1.000013464399856,1.8294556986054762,0.28503131406477167,0.0
ETHUSDT,2024-01-15,sell_aggressor,20.0,288950,0.4836655133683842,0.3247244261211423,0.5324280607423646,-4677.945508833414,-9351.891017666829,True,60000,86399.99428890704,0.694444490347651,1.0000247370891837,1.4853359016030283,0.20041637197780557,0.0
ETHUSDT,2024-01-15,sell_aggressor,100.0,288950,0.4836655133683842,0.3732124318489638,0.4625801541024004,-19361.59355647833,-38719.18711295666,True,60000,86399.99428890704,0.694444490347651,1.000008656992476,1.3662759036282117,0.20040529520197334,0.0
SOLUSDT,2024-01-15,all,1.0,218278,1.0,0.4168625110821006,0.39973371494793075,69845.28406829195,139694.5681365839,True,60000,86398.71221817019,0.6944547952114225,1.0000167875889192,0.7801586181434875,0.10179534244468123,0.0
SOLUSDT,2024-01-15,all,5.0,218278,1.0,0.5197680295774223,0.25154935234179615,66730.3539446655,133464.707889331,True,60000,86398.71221817019,0.6944547952114225,1.0000166341106695,0.78559350301511,0.08040197424976432,0.0
SOLUSDT,2024-01-15,all,20.0,218278,1.0,0.5584974430223444,0.19578257855336803,62318.74850343816,124641.49700687632,True,60000,86398.71221817019,0.6944547952114225,1.000020313978637,0.8266718027834237,0.05417600453438259,2.2029566952400883e-153
SOLUSDT,2024-01-15,all,100.0,218278,1.0,0.5882191608112136,0.1529734458796711,58968.96034057301,117941.92068114602,True,60000,86398.71221817019,0.6944547952114225,1.000010530354982,0.8829854896220249,0.03581453783870219,2.8496019031608255e-67
SOLUSDT,2024-01-15,buy_aggressor,1.0,115599,0.5295952867444268,0.34781500062811893,0.4992157588449108,61008.25439563894,122020.50879127788,True,60000,86390.16411539391,0.6945235098738349,1.000013623564532,1.308407556008837,0.1639237666812712,0.0
SOLUSDT,2024-01-15,buy_aggressor,5.0,115599,0.5295952867444268,0.4435416769128598,0.3613828908827143,52589.187731363,105182.375462726,True,60000,86390.16411539391,0.6945235098738349,1.0000184030181312,1.0566936551094357,0.13267397988204363,0.0
SOLUSDT,2024-01-15,buy_aggressor,20.0,115599,0.5295952867444268,0.4914805371782484,0.29236551292450236,44650.3248382659,89304.6496765318,True,60000,86390.16411539391,0.6945235098738349,1.0000285817341126,1.020145951710784,0.09836174976941575,0.0
SOLUSDT,2024-01-15,buy_aggressor,100.0,115599,0.5295952867444268,0.5308374622433188,0.2356836975506577,38379.478253939655,76762.95650787931,True,60000,86390.16411539391,0.6945235098738349,1.0000153616391594,1.065357554577209,0.07477985805243408,7.5076158207762715e-292
SOLUSDT,2024-01-15,sell_aggressor,1.0,102679,0.47040471325557315,0.3031886460474606,0.5634309411870497,59182.180667199915,118368.36133439983,True,60000,86397.62710277145,0.6944635172517988,1.000016356096967,1.4203096946963445,0.19211884637076615,0.0
SOLUSDT,2024-01-15,sell_aggressor,5.0,102679,0.47040471325557315,0.40504484483946745,0.4167574636325336,49735.10456460773,99474.20912921547,True,60000,86397.62710277145,0.6944635172517988,1.0000157419722548,1.247806648995816,0.1580222811661717,0.0
SOLUSDT,2024-01-15,sell_aggressor,20.0,102679,0.47040471325557315,0.46506623470321207,0.3303469855516006,41148.33345156599,82300.66690313198,True,60000,86397.62710277145,0.6944635172517988,1.0000351328854165,1.2497162659255596,0.12190211165713402,0.0
SOLUSDT,2024-01-15,sell_aggressor,100.0,102679,0.47040471325557315,0.5113594272958493,0.2636726810354885,33344.53080889775,66693.0616177955,True,60000,86397.62710277145,0.6944635172517988,1.0000223059571474,1.3217652661682917,0.09219728318250113,0.0
