symbol,date,event_group,beta_fixed,n_events_raw,event_share,mu,rho,neg_loglik,aic,success,n_events_fit,horizon,event_rate_fit,residual_mean,residual_variance,residual_ks_stat,residual_ks_pvalue
ETHUSDT,2024-01-15,sell_aggressor,100.0,288950,0.4836655133683842,0.3732124318489638,0.4625801541024004,-19361.59355647833,-38719.18711295666,True,60000,86399.99428890704,0.694444490347651,1.000008656992476,1.3662759036282117,0.20040529520197334,0.0
ETHUSDT,2024-04-15,all,100.0,1213745,1.0,0.5568759493399582,0.198100191978078,56757.57927083863,113519.15854167726,True,60000,86400.00021381649,0.6944444427258835,1.0000149268145526,1.1883664602828528,0.027689634884406983,2.20820226174285e-40
ETHUSDT,2024-04-15,buy_aggressor,100.0,618239,0.5093648171568163,0.47659006445031643,0.313740189910802,25649.778930318265,51303.55786063653,True,60000,86399.992618341,0.6944445037749134,1.0000412629133006,1.3706962930614743,0.09183307809307689,0.0
ETHUSDT,2024-04-15,sell_aggressor,100.0,595506,0.4906351828431837,0.4723618632175187,0.31982039157123743,26192.5271687333,52389.0543374666,True,60000,86399.99359553552,0.6944444959206609,1.000032761529238,1.5625275002116774,0.07101775140854893,2.888079836452964e-263
ETHUSDT,2024-07-15,all,5.0,1136136,1.0,0.3325474555801922,0.5211456485611106,25667.45259466768,51338.90518933536,True,60000,86399.63513619795,0.6944473770684065,1.0000199439250281,1.030319912290869,0.05153029444790455,8.274978662376564e-139
ETHUSDT,2024-07-15,buy_aggressor,20.0,601429,0.5293635621087617,0.2986037238723845,0.5700632216960817,-14611.674521539055,-29219.34904307811,True,60000,86399.08760132118,0.6944517779732028,1.000055210143336,1.1407580587311372,0.06774274846393297,1.391755962647147e-239
ETHUSDT,2024-07-15,sell_aggressor,20.0,534707,0.4706364378912384,0.3032073867545063,0.5633563875201643,-12871.303744922756,-25738.60748984551,True,60000,86398.51553481091,0.6944563761147649,0.9999748000432193,1.4223891153274049,0.0839207093413907,0.0
SOLUSDT,2024-01-15,all,100.0,218278,1.0,0.5882191608112136,0.1529734458796711,58968.96034057301,117941.92068114602,True,60000,86398.71221817019,0.6944547952114225,1.000010530354982,0.8829854896220249,0.03581453783870219,2.8496019031608255e-67
SOLUSDT,2024-01-15,buy_aggressor,100.0,115599,0.5295952867444268,0.5308374622433188,0.2356836975506577,38379.478253939655,76762.95650787931,True,60000,86390.16411539391,0.6945235098738349,1.0000153616391594,1.065357554577209,0.07477985805243408,7.5076158207762715e-292
SOLUSDT,2024-01-15,sell_aggressor,100.0,102679,0.47040471325557315,0.5113594272958493,0.2636726810354885,33344.53080889775,66693.0616177955,True,60000,86397.62710277145,0.6944635172517988,1.0000223059571474,1.3217652661682917,0.09219728318250113,0.0
SOLUSDT,2024-04-15,all,100.0,742093,1.0,0.6130580167428635,0.11720304673991397,67655.74219904703,135315.48439809406,True,60000,86399.17274226176,0.6944510936347342,1.000012852342973,0.9633819676037496,0.029219424046351795,6.412280133352781e-45
SOLUSDT,2024-04-15,buy_aggressor,100.0,384590,0.5182504079677345,0.5594807265646975,0.19437234427365044,48963.13583099794,97930.27166199588,True,60000,86399.17238475876,0.6944510965082381,1.0000303014726315,1.0880840329309869,0.07528116115961982,9.018537203576176e-296
SOLUSDT,2024-04-15,sell_aggressor,100.0,357503,0.4817495920322655,0.5740783782361972,0.17334694837514544,56371.4818071309,112746.9636142618,True,60000,86395.10335742761,0.694483803691655,0.9999867399954161,1.4920407065343972,0.08427627525793785,0.0
SOLUSDT,2024-07-15,all,100.0,655238,1.0,0.4669057378037549,0.32767888339525064,22597.37567760481,45198.75135520962,True,60000,86399.47565538005,0.6944486589168766,1.0000302718308358,1.0799578938929657,0.06388611265080829,3.973662061949161e-213
SOLUSDT,2024-07-15,buy_aggressor,100.0,357558,0.5456917944319468,0.3421652648802518,0.5072138022907712,-37699.050075862426,-75394.10015172485,True,60000,86399.35835759706,0.6944496017165644,0.999936336973692,1.1562464383487712,0.13742486456725456,0.0
