ticker,beta_fixed,mark_groups,n_events_raw,n_events_fit,horizon,event_rate_fit,neg_loglik,aic,success,spectral_radius,residual_mean,residual_variance,residual_ks_stat,residual_ks_pvalue,mark_log_loss,baseline_mark_log_loss,mark_log_loss_improvement,count_limit,mu_limit,branching_in_limit,branching_from_limit,count_cancel_delete,mu_cancel_delete,branching_in_cancel_delete,branching_from_cancel_delete,count_execution,mu_execution,branching_in_execution,branching_from_execution,gamma_limit_from_limit,gamma_limit_from_cancel_delete,gamma_limit_from_execution,gamma_cancel_delete_from_limit,gamma_cancel_delete_from_cancel_delete,gamma_cancel_delete_from_execution,gamma_execution_from_limit,gamma_execution_from_cancel_delete,gamma_execution_from_execution
GOOG,20.0,limit|cancel_delete|execution,49482,30000,23399.305662676,1.2820893248919218,-2456.307091081042,-4888.614182162084,True,0.6728462456374421,1.000033807789964,2.4913519964563555,0.3037311565988163,0.0,0.9377190128803214,1.0449009778957494,0.10718196501542798,24368,0.22752074679450485,0.9997127112596818,0.4032760499121159,13436,0.13078661265116454,0.5251616354831066,0.7744975410019838,11678,0.09363285323329254,0.6601061481375887,1.0072069039662774,0.22861386090035302,0.5025884692597463,0.2685103810995823,0.14781755923168777,0.2575957788638227,0.11974829738759615,0.02684462978007515,0.014313292878414742,0.6189482254790989
GOOG,100.0,limit|cancel_delete|execution,49482,30000,23399.305662676,1.2820893248919218,-14621.05835918531,-29218.11671837062,True,0.6217344258909929,1.0000691694720192,1.9786305637589878,0.21190026773529796,0.0,0.9306722972161104,1.0449009778957494,0.11422868067963898,24368,0.26314486373031376,0.8970751100799961,0.3874219769957272,13436,0.15459361124775348,0.4599503338890899,0.6974918921006589,11678,0.1073816851455238,0.6157096980976484,0.8878212729703481,0.22107391259947068,0.46015665646103615,0.21584454101948922,0.14024913112916998,0.22425693658495408,0.0954442661749658,0.02609893326708659,0.013078299054668657,0.5765324657758931
INTC,1.0,limit|cancel_delete|execution,404986,30000,23399.943103891,1.2820543993122584,16699.558451839133,33423.11690367827,True,0.683904827515893,0.9339977557903727,3.459792589656455,0.4586801751706315,0.0,0.9134666362499612,0.9142046151900816,0.0007379789401203984,202231,0.1383993179546335,1.5279509607460118,0.641852051094758,170272,0.11493963897028836,1.4477755928690526,0.4590618892765796,32483,0.035902681221833155,0.5476535818385303,2.422466195082257,0.3494889595547725,0.22846200119123933,0.95,0.2916134213739896,0.20616217149506313,0.95,0.0007496701659957936,0.02443771659027712,0.5224661950822573
INTC,5.0,limit|cancel_delete|execution,404986,30000,23399.943103891,1.2820543993122584,-1083.0716848518787,-2142.1433697037573,True,0.6241597328830412,0.9326116248946557,2.94349616095982,0.40809239687205795,0.0,0.9134672281361357,0.9142046151900816,0.0007373870539458816,202231,0.19174379450537268,1.4313994884904,0.5463591056078076,170272,0.16764178939450874,1.3636873487911385,0.38654620381027816,32483,0.03856082540153624,0.4579320766844721,2.3201136045479247,0.30022291608838647,0.18117657240201349,0.95,0.23570040828709332,0.17798694050404518,0.95,0.010435781232327948,0.027382690904219516,0.4201136045479246
INTC,20.0,limit|cancel_delete|execution,404986,30000,23399.943103891,1.2820543993122584,-17271.98537209903,-34519.97074419806,True,0.5739478510706558,0.9401179919380628,2.2215981945630268,0.3336818294361489,0.0,0.9121703990114579,0.9142046151900816,0.002034216178623649,202231,0.22234631572236424,1.3845673978805972,0.5034714919028599,170272,0.20268848478456403,1.3148139905853908,0.33210956315773643,32483,0.0440126029101232,0.4107130199139093,2.274513353319301,0.2798011711262561,0.15476622675434126,0.95,0.21230375951556268,0.15251023106982817,0.95,0.011366561261041153,0.024833105333567,0.37451335331930113
INTC,100.0,limit|cancel_delete|execution,404986,30000,23399.943103891,1.2820543993122584,-32803.18564392575,-65582.3712878515,True,0.5252031048778183,0.957755707730514,1.6037185732905466,0.1751150160193284,0.0,0.9092087327608205,0.9142046151900816,0.004995882429261078,202231,0.24686853409270632,1.360075702910511,0.48289330412212494,170272,0.23128489990441192,1.2863544561576186,0.2939395491455102,32483,0.05178597669235233,0.36094048185397104,2.2305377876544656,0.27314515748452994,0.13693054542598113,0.95,0.19985551540901011,0.1364989407486085,0.95,0.00989263122858487,0.02051006297092056,0.3305377876544656
MSFT,1.0,limit|cancel_delete|execution,411409,30000,23399.868323966002,1.2820584964264172,15819.240181841784,31662.480363683568,True,0.7005618656697936,0.9279946216345973,4.385081357137334,0.521268230994469,0.0,0.9138815994173066,0.9157508845488622,0.001869285131555598,205695,0.0986446834751779,1.5840451715188064,0.678536591866071,172300,0.09404118963574562,1.4775105562247155,0.5158948629574516,33414,0.04064670672037301,0.47643223379300165,2.343556506713001,0.3527599531924728,0.2812852183263336,0.95,0.32577016385475405,0.20174039236996152,0.95,6.474818844127484e-06,0.03286925226115646,0.44355650671300106
MSFT,5.0,limit|cancel_delete|execution,411409,30000,23399.868323966002,1.2820584964264172,-5517.494001212588,-11010.988002425176,True,0.6350789277139516,0.9191954143486211,3.289633092145021,0.4638393574117747,0.0,0.9132735667254116,0.9157508845488622,0.00247731782345062,205695,0.1399474686091614,1.4939978934164075,0.5915079515809056,172300,0.14182768874544752,1.3986902888462667,0.4422885022296218,33414,0.04476440213249502,0.39474127770832157,2.2536330061604684,0.31915639505790605,0.22484149835850156,0.95,0.26482409086932424,0.18386619797694237,0.95,0.0075274656536754,0.03358080589417791,0.3536330061604683
MSFT,20.0,limit|cancel_delete|execution,411409,30000,23399.868323966002,1.2820584964264172,-24420.787922906347,-48817.575845812695,True,0.584441958565775,0.9220282475023898,2.5415584830296885,0.3847998642648827,0.0,0.9106764367269308,0.9157508845488622,0.005074447821931449,205695,0.16620014796580762,1.4451927861498997,0.5608695541137116,172300,0.1755705701626334,1.349156059458128,0.37196908731195927,33414,0.050172297318092585,0.350404922092364,2.2119151262747208,0.31086327782393236,0.1843295083259674,0.95,0.2405083189130929,0.15864774054503514,0.95,0.00949795737668633,0.028991838440956725,0.31191512627472096
MSFT,100.0,limit|cancel_delete|execution,411409,30000,23399.868323966002,1.2820584964264172,-42274.31048919013,-84524.62097838026,True,0.5409975104939058,0.9358053777276932,1.882643152398844,0.21651926056263976,0.0,0.9061750236580737,0.9157508845488622,0.009575860890788546,205695,0.1890622568592367,1.4163369905198118,0.547340960173727,172300,0.2124310218448867,1.3020704705011297,0.30532258778910315,33414,0.05608440230652536,0.3129193802586054,2.178663293316717,0.31803880167740634,0.1482981888424055,0.95,0.22068937966742247,0.1313810908337074,0.95,0.00861277882889825,0.02564330811299024,0.2786632933167169
