ticker,event_group,event_types,beta_pair,n_events_raw,event_share,mu,rho,rho_slow,rho_fast,fast_share,beta_slow,beta_fast,neg_loglik,aic,success,n_events_fit,horizon,event_rate_fit,residual_mean,residual_variance,residual_ks_stat,residual_ks_pvalue
GOOG,execution,"4,5","1,100",11678,0.23600501192352774,0.10731890988654079,0.7851174456796424,0.10097672095780776,0.6841407247218346,0.8713864766176523,1.0,100.0,-23034.370116540318,-46062.740233080636,True,11678,23398.942648953995,0.49908238056739895,1.0000876051527214,3.051965258763849,0.4151715965969973,0.0
GOOG,limit,1,"1,100",24368,0.49246190533931533,0.3298541045134239,0.6833213151366714,0.189101025417746,0.49422028971892534,0.7232619249116737,1.0,100.0,-23204.006167012176,-46402.01233402435,True,24368,23399.166564423,1.0414046129766883,1.0000423517115273,1.5293456704448098,0.18957971759954348,0.0
INTC,all,all,"1,100",404986,1.0,0.3819182321522263,0.7021598567025832,0.12397348113397245,0.5781863755686107,0.8234398051233447,1.0,100.0,-58422.495061652706,-116838.99012330541,True,30000,23399.943103891,1.2820543993122584,1.0000371172597806,1.6923505340737828,0.16420735305976875,0.0
INTC,cancel_delete,"2,3","1,100",170272,0.4204392250596317,0.3724451182650641,0.7095576764178219,0.14723973181260847,0.5623179446052133,0.7924908196949635,1.0,100.0,-54446.41214887341,-108886.82429774682,True,30000,23399.811731036003,1.2820615971114815,1.0000411043216118,1.806341832765124,0.13371193470429896,0.0
INTC,execution,"4,5","1,100",32483,0.08020771088383302,0.12892558700452023,0.8994940397015138,0.056684195434844,0.8428098442666697,0.9369821333628248,1.0,100.0,-120969.0787252702,-241932.1574505404,True,30000,23399.942731388,1.2820544197212447,1.000028965959501,10.735904363595747,0.6701957232627289,0.0
INTC,limit,1,"1,100",202231,0.4993530640565353,0.40012348394841113,0.6879473067936573,0.10209601099064386,0.5858512958030134,0.8515932688704215,1.0,100.0,-60889.8228377861,-121773.6456755722,True,30000,23399.933605998,1.2820549196904658,1.000033359719432,1.9435876226341504,0.19361720464025012,0.0
MSFT,all,all,"1,100",411409,1.0,0.30655853391897875,0.7609266068700361,0.126451224752494,0.6344753821175421,0.8338194201506066,1.0,100.0,-67638.84050977851,-135271.68101955703,True,30000,23399.868323966002,1.2820584964264172,1.0000289437859993,1.9971563216249297,0.21560775573546173,0.0
MSFT,cancel_delete,"2,3","1,100",172300,0.4188046445264931,0.29091192030828517,0.7731448139071586,0.1665437702155549,0.6066010436916037,0.7845891646431532,1.0,100.0,-60154.86459024134,-120303.72918048268,True,30000,23399.658455762998,1.2820699950264203,1.000032190711061,1.80639433666662,0.16260902892010812,0.0
MSFT,execution,"4,5","1,100",33414,0.08121844684972862,0.1297240779510134,0.8988754366855018,0.04778354069688578,0.8510918959886161,0.946840753738825,1.0,100.0,-120629.35082019462,-241252.70164038925,True,30000,23399.867945971004,1.2820585171364358,1.000048472976856,10.041002838263491,0.6799712652370197,0.0
MSFT,limit,1,"1,100",205695,0.4999769086237783,0.3234071181171046,0.747786046380047,0.08165646099900899,0.666129585381038,0.8908023740289094,1.0,100.0,-75273.78468939663,-150541.56937879327,True,30000,23399.528187933996,1.2820771324555829,1.0000332839063788,2.5833683508660137,0.269421354756205,0.0
