time_index,inventory,rho_hat,epsilon,ambiguity,rho_worst,value
18,-1,0.3,0.005,relative_slack,0.3035,-0.03304611452494699
18,0,0.3,0.005,relative_slack,0.3035,0.021194558152862072
18,1,0.3,0.005,relative_slack,0.3035,-0.03304611452494699
18,2,0.3,0.005,relative_slack,0.3035,-0.19409047614352198
18,3,0.3,0.005,relative_slack,0.3035,-0.4727739988303129
18,4,0.3,0.005,relative_slack,0.3035,-0.8753348256025184
18,5,0.3,0.005,relative_slack,0.3035,-1.3888732927311183
19,-5,0.3,0.005,relative_slack,0.3035,-1.3671879153608073
19,-4,0.3,0.005,relative_slack,0.3035,-0.8639710878237709
19,-3,0.3,0.005,relative_slack,0.3035,-0.46960958476064996
19,-2,0.3,0.005,relative_slack,0.3035,-0.19529097009026952
19,-1,0.3,0.005,relative_slack,0.3035,-0.035900291729464066
19,0,0.3,0.005,relative_slack,0.3035,0.017723855738194468
19,1,0.3,0.005,relative_slack,0.3035,-0.035900291729464066
19,2,0.3,0.005,relative_slack,0.3035,-0.19529097009026952
19,3,0.3,0.005,relative_slack,0.3035,-0.46960958476064996
19,4,0.3,0.005,relative_slack,0.3035,-0.8639710878237709
19,5,0.3,0.005,relative_slack,0.3035,-1.3671879153608073
20,-5,0.3,0.005,relative_slack,0.3035,-1.3449262026164095
20,-4,0.3,0.005,relative_slack,0.3035,-0.8521457866443339
20,-3,0.3,0.005,relative_slack,0.3035,-0.4662054633447593
20,-2,0.3,0.005,relative_slack,0.3035,-0.1964077437266679
20,-1,0.3,0.005,relative_slack,0.3035,-0.03874402384242172
20,0,0.3,0.005,relative_slack,0.3035,0.014230201848373565
20,1,0.3,0.005,relative_slack,0.3035,-0.03874402384242172
20,2,0.3,0.005,relative_slack,0.3035,-0.1964077437266679
20,3,0.3,0.005,relative_slack,0.3035,-0.4662054633447593
20,4,0.3,0.005,relative_slack,0.3035,-0.8521457866443339
20,5,0.3,0.005,relative_slack,0.3035,-1.3449262026164095
21,-5,0.3,0.005,relative_slack,0.3035,-1.322082130009205
21,-4,0.3,0.005,relative_slack,0.3035,-0.8398472184091219
21,-3,0.3,0.005,relative_slack,0.3035,-0.46255231492601295
21,-2,0.3,0.005,relative_slack,0.3035,-0.19744070461219126
21,-1,0.3,0.005,relative_slack,0.3035,-0.04157662270614926
21,0,0.3,0.005,relative_slack,0.3035,0.010712348745344368
21,1,0.3,0.005,relative_slack,0.3035,-0.04157662270614926
21,2,0.3,0.005,relative_slack,0.3035,-0.19744070461219126
21,3,0.3,0.005,relative_slack,0.3035,-0.46255231492601295
21,4,0.3,0.005,relative_slack,0.3035,-0.8398472184091219
21,5,0.3,0.005,relative_slack,0.3035,-1.322082130009205
22,-5,0.3,0.005,relative_slack,0.3035,-1.2986499223887897
22,-4,0.3,0.005,relative_slack,0.3035,-0.8270650928929996
22,-3,0.3,0.005,relative_slack,0.3035,-0.45864011868593146
22,-2,0.3,0.005,relative_slack,0.3035,-0.19838625395315437
22,-1,0.3,0.005,relative_slack,0.3035,-0.044397352356040726
22,0,0.3,0.005,relative_slack,0.3035,0.007168976073732997
22,1,0.3,0.005,relative_slack,0.3035,-0.044397352356040726
22,2,0.3,0.005,relative_slack,0.3035,-0.19838625395315437
22,3,0.3,0.005,relative_slack,0.3035,-0.45864011868593146
22,4,0.3,0.005,relative_slack,0.3035,-0.8270650928929996
22,5,0.3,0.005,relative_slack,0.3035,-1.2986499223887897
23,-5,0.3,0.005,relative_slack,0.3035,-1.274624197865781
23,-4,0.3,0.005,relative_slack,0.3035,-0.8137869069468819
23,-3,0.3,0.005,relative_slack,0.3035,-0.4544593110753526
23,-2,0.3,0.005,relative_slack,0.3035,-0.1992406492984641
23,-1,0.3,0.005,relative_slack,0.3035,-0.04720542554412481
23,0,0.3,0.005,relative_slack,0.3035,0.0035986863252196024
23,1,0.3,0.005,relative_slack,0.3035,-0.04720542554412481
23,2,0.3,0.005,relative_slack,0.3035,-0.1992406492984641
23,3,0.3,0.005,relative_slack,0.3035,-0.4544593110753526
23,4,0.3,0.005,relative_slack,0.3035,-0.8137869069468819
23,5,0.3,0.005,relative_slack,0.3035,-1.274624197865781
24,-5,0.3,0.005,relative_slack,0.3035,-1.25
24,-4,0.3,0.005,relative_slack,0.3035,-0.8
24,-3,0.3,0.005,relative_slack,0.3035,-0.45
24,-2,0.3,0.005,relative_slack,0.3035,-0.2
24,-1,0.3,0.005,relative_slack,0.3035,-0.05
24,0,0.3,0.005,relative_slack,0.3035,-0.0
24,1,0.3,0.005,relative_slack,0.3035,-0.05
24,2,0.3,0.005,relative_slack,0.3035,-0.2
24,3,0.3,0.005,relative_slack,0.3035,-0.45
24,4,0.3,0.005,relative_slack,0.3035,-0.8
24,5,0.3,0.005,relative_slack,0.3035,-1.25
0,-5,0.3,0.005,absolute_gamma,0.305,-1.6892752593089462
0,-4,0.3,0.005,absolute_gamma,0.305,-1.0136978161562034
0,-3,0.3,0.005,absolute_gamma,0.305,-0.4967054415569237
0,-2,0.3,0.005,absolute_gamma,0.305,-0.1613600580551635
0,-1,0.3,0.005,absolute_gamma,0.305,0.019575434995179934
0,0,0.3,0.005,absolute_gamma,0.305,0.08094556961402934
0,1,0.3,0.005,absolute_gamma,0.305,0.019575434995179934
0,2,0.3,0.005,absolute_gamma,0.305,-0.1613600580551635
0,3,0.3,0.005,absolute_gamma,0.305,-0.4967054415569237
0,4,0.3,0.005,absolute_gamma,0.305,-1.0136978161562034
0,5,0.3,0.005,absolute_gamma,0.305,-1.6892752593089462
1,-5,0.3,0.005,absolute_gamma,0.305,-1.6766772144811888
1,-4,0.3,0.005,absolute_gamma,0.305,-1.0087930984287252
1,-3,0.3,0.005,absolute_gamma,0.305,-0.4967003494118798
1,-2,0.3,0.005,absolute_gamma,0.305,-0.1635969751796809
1,-1,0.3,0.005,absolute_gamma,0.305,0.01660646055031837
1,0,0.3,0.005,absolute_gamma,0.305,0.07770742247081944
1,1,0.3,0.005,absolute_gamma,0.305,0.01660646055031837
1,2,0.3,0.005,absolute_gamma,0.305,-0.1635969751796809
1,3,0.3,0.005,absolute_gamma,0.305,-0.4967003494118798
1,4,0.3,0.005,absolute_gamma,0.305,-1.0087930984287252
1,5,0.3,0.005,absolute_gamma,0.305,-1.6766772144811888
