rho,one_minus_rho,gap_multiple,second_eigenvalue,spectral_gap,loading,perron_visibility,adversary,epsilon_rel,premium,theorem_proxy,premium_to_proxy
0.985,0.015000000000000013,8.0,0.8799999999999999,0.10499999999999998,perron_visible,0.9999999999999998,second_mode,0.2,0.0,888.888888888887,0.0
0.985,0.015000000000000013,8.0,0.8799999999999999,0.10499999999999998,weak_perron_visible,0.31622776601683783,perron_aligned,0.2,249.99999999999,88.88888888888869,2.812499999999894
0.985,0.015000000000000013,8.0,0.8799999999999999,0.10499999999999998,weak_perron_visible,0.31622776601683783,second_mode,0.2,3.246219592370096,88.88888888888869,0.03651997041416366
0.985,0.015000000000000013,8.0,0.8799999999999999,0.10499999999999998,perron_orthogonal,0.0,perron_aligned,0.2,0.0,0.0,
0.985,0.015000000000000013,8.0,0.8799999999999999,0.10499999999999998,perron_orthogonal,0.0,second_mode,0.2,3.6069106581925894,0.0,
0.995,0.0050000000000000044,8.0,0.96,0.03500000000000003,perron_visible,0.9999999999999998,perron_aligned,0.2,22499.99999999909,7999.999999999983,2.8124999999998925
0.995,0.0050000000000000044,8.0,0.96,0.03500000000000003,perron_visible,0.9999999999999998,second_mode,0.2,0.0,7999.999999999983,0.0
0.995,0.0050000000000000044,8.0,0.96,0.03500000000000003,weak_perron_visible,0.31622776601683783,perron_aligned,0.2,2249.9999999999063,799.9999999999982,2.8124999999998894
0.995,0.0050000000000000044,8.0,0.96,0.03500000000000003,weak_perron_visible,0.31622776601683783,second_mode,0.2,29.21597633127203,799.9999999999982,0.03651997041409012
0.995,0.0050000000000000044,8.0,0.96,0.03500000000000003,perron_orthogonal,0.0,perron_aligned,0.2,0.0,0.0,
0.995,0.0050000000000000044,8.0,0.96,0.03500000000000003,perron_orthogonal,0.0,second_mode,0.2,32.46219592373188,0.0,
