experiment,family,rho,epsilon,one_minus_rho,premium,spectral_gap,perron_condition,rho_worst
absolute_gamma_derivative,scalar,0.3,0.05,0.7,0.0004664723032069972,,,0.35
matrix_resolvent,rank1,0.3,0.05,0.7,0.00051671190343502,0.3000000000000003,1.041817776382083,0.34799303787427677
matrix_resolvent,block,0.3,0.05,0.7,0.0005128007935116259,0.1560674984867657,1.0480898190416104,0.3477058350263531
matrix_resolvent,near_degenerate,0.3,0.05,0.7,0.0005171395253982247,0.2947259877978857,1.0387619072383858,0.3481342256118423
matrix_resolvent,sparse,0.3,0.05,0.7,0.0005163174208942394,0.16611905065708482,1.0644297181578493,0.34697350999043186
minimal_relative_slack,scalar,0.5,0.05,0.5,0.00032,,,0.55
absolute_gamma_derivative,scalar,0.5,0.05,0.5,0.00128,,,0.55
matrix_resolvent,rank1,0.5,0.05,0.5,0.0015058721147187585,0.5000000000000003,1.1207763498899452,0.5446119335092233
matrix_resolvent,block,0.5,0.05,0.5,0.0014780558504335973,0.25045532618779126,1.0827747044559206,0.5461776580060795
matrix_resolvent,near_degenerate,0.5,0.05,0.5,0.0015018450004501702,0.4947817897415445,1.0572431491148502,0.5472928105912633
matrix_resolvent,sparse,0.5,0.05,0.5,0.0015036172440573866,0.2857075012722206,1.1620866232704472,0.5430260524463182
minimal_relative_slack,scalar,0.7,0.05,0.30000000000000004,0.0008888888888888888,,,0.75
absolute_gamma_derivative,scalar,0.7,0.05,0.30000000000000004,0.005925925925925923,,,0.75
matrix_resolvent,rank1,0.7,0.05,0.30000000000000004,0.008022231129516335,0.7,1.1201715316883303,0.7446360209892494
matrix_resolvent,block,0.7,0.05,0.30000000000000004,0.007809413835024222,0.31117613640293584,1.1616557795784945,0.7430420102744562
matrix_resolvent,near_degenerate,0.7,0.05,0.30000000000000004,0.007869486712633779,0.6728323583956374,1.0335338919673611,0.7483777071933492
matrix_resolvent,sparse,0.7,0.05,0.30000000000000004,0.008137893369198412,0.42491923100929746,1.1707324148603078,0.7427083075221459
minimal_relative_slack,scalar,0.85,0.05,0.15000000000000002,0.0035555555555555553,,,0.9
absolute_gamma_derivative,scalar,0.85,0.05,0.15000000000000002,0.047407407407407384,,,0.9
matrix_resolvent,rank1,0.85,0.05,0.15000000000000002,0.08930043890720579,0.8499999999999999,1.116735613220884,0.894773354953542
matrix_resolvent,block,0.85,0.05,0.15000000000000002,0.08789159028106167,0.35769012186801563,1.073988329399214,0.8965554407169103
matrix_resolvent,near_degenerate,0.85,0.05,0.15000000000000002,0.08900969218803641,0.8494302279895822,1.0788016505770281,0.8963477229324368
matrix_resolvent,sparse,0.85,0.05,0.15000000000000002,0.09284302440972242,0.4078666238981633,1.347914123187411,0.8870943512942568
minimal_relative_slack,scalar,0.92,0.05,0.07999999999999996,0.012500000000000015,,,0.9700000000000001
absolute_gamma_derivative,scalar,0.92,0.05,0.07999999999999996,0.3125000000000005,,,0.9700000000000001
