ticker,scenario,policy,rho_hat,rho_true,epsilon,terminal_wealth,final_inventory,abs_inventory,fills,bid_fills,ask_fills,fill_rate,spread_capture,adverse_selection,inventory_penalty,join_side_time_frac,improve_side_time_frac,away_side_time_frac,no_quote_side_time_frac,full_no_quote_time_frac,mean_bid_offset,mean_ask_offset,crossing_clamp_count,queue_depletion_from_exec,queue_depletion_from_visible_size_drop,quote_updates,n_events,horizon,size_scale,nominal_terminal_wealth,wealth_diff_vs_nominal
AMZN,calibrated_side_gamma,as_poisson,0.5473364111346355,0.5473364111346355,0.02,248.14762161837194,0.0,0.0,3882,1941,1941,0.06749543597322438,110.11500000000146,0.0,149649.51352651266,0.07342776169017073,0.6763966925182096,0.14571204708615654,0.10446349870546315,0.0,0.03429554685853982,0.029330461537165467,0,641.4999999999972,304.74999999999784,14689,57515,23399.941900032994,66.0,248.14762161837194,0.0
AMZN,calibrated_side_gamma,nominal_hawkes,0.5473364111346355,0.5473364111346355,0.02,248.14762161837194,0.0,0.0,3882,1941,1941,0.06749543597322438,110.11500000000146,0.0,149649.51352651266,0.07342776169017073,0.6763966925182096,0.14571204708615654,0.10446349870546315,0.0,0.03429854957210621,0.02933311465909166,0,641.4999999999972,304.74999999999784,14689,57515,23399.941900032994,66.0,248.14762161837194,0.0
AMZN,calibrated_side_gamma,robust_gamma,0.5473364111346355,0.5473364111346355,0.02,248.14762161837194,0.0,0.0,3882,1941,1941,0.06749543597322438,110.11500000000146,0.0,149649.51352651266,0.07342776169017073,0.6763966925182096,0.14571204708615654,0.10446349870546315,0.0,0.03430437986482703,0.029338266158597023,0,641.4999999999972,304.74999999999784,14689,57515,23399.941900032994,66.0,248.14762161837194,0.0
AMZN,calibrated_side_gamma,robust_gamma_abs,0.5473364111346355,0.5473364111346355,0.02,248.14762161837194,0.0,0.0,3882,1941,1941,0.06749543597322438,110.11500000000146,0.0,149649.51352651266,0.07342776169017073,0.6763966925182096,0.14571204708615654,0.10446349870546315,0.0,0.03432430950890757,0.02935587548913045,0,641.4999999999972,304.74999999999784,14689,57515,23399.941900032994,66.0,248.14762161837194,0.0
AMZN,calibrated_side_gamma,liquidity_guard,0.5473364111346355,0.5473364111346355,0.02,248.14762161837194,0.0,0.0,3882,1941,1941,0.06749543597322438,110.11500000000146,0.0,149649.51352651266,0.07342776169017073,0.6763966925182096,0.14571204708615654,0.10446349870546315,0.0,0.03432430950890757,0.02935587548913045,0,641.4999999999972,304.74999999999784,14689,57515,23399.941900032994,66.0,248.14762161837194,0.0
AMZN,near_critical_stress,as_poisson,0.97,0.97,0.02,248.14762161837194,0.0,0.0,3882,1941,1941,0.06749543597322438,110.11500000000146,0.0,149649.51352651266,0.07342776169017073,0.6763966925182096,0.14571204708615654,0.10446349870546315,0.0,0.03429554685853982,0.029330461537165467,0,641.4999999999972,304.74999999999784,14689,57515,23399.941900032994,66.0,248.14762161837194,0.0
AMZN,near_critical_stress,nominal_hawkes,0.97,0.97,0.02,248.14762161837194,0.0,0.0,3882,1941,1941,0.06749543597322438,110.11500000000146,0.0,149649.51352651266,0.07342776169017073,0.6763966925182096,0.14571204708615654,0.10446349870546315,0.0,0.03562011060455068,0.030500812634342716,0,641.4999999999972,304.74999999999784,14689,57515,23399.941900032994,66.0,248.14762161837194,0.0
AMZN,near_critical_stress,robust_gamma,0.97,0.97,0.02,248.14762161837194,0.0,0.0,3882,1941,1941,0.06749543597322438,110.11500000000146,0.0,149649.51352651266,0.07342776169017073,0.6763966925182096,0.14571204708615654,0.10446349870546315,0.0,0.03694750192971545,0.031673662109099124,0,641.4999999999972,304.74999999999784,14689,57515,23399.941900032994,66.0,248.14762161837194,0.0
AMZN,near_critical_stress,robust_gamma_abs,0.97,0.97,0.02,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.17037037037037073,0.17037037037037073,0,0.0,0.0,10807,57515,23399.941900032994,66.0,248.14762161837194,-248.14762161837194
AMZN,near_critical_stress,liquidity_guard,0.97,0.97,0.02,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.4999999999999845,1.4999999999999845,0,0.0,0.0,10807,57515,23399.941900032994,66.0,248.14762161837194,-248.14762161837194
GOOG,calibrated_side_gamma,as_poisson,0.6237547064140724,0.6237547064140724,0.02,483.2407171490006,3.0,3.0,4915,2459,2456,0.09932904894709187,151.08999999999583,0.0,232317.13140398994,0.010155729477246007,0.7347378614608583,0.016648987797903733,0.23845742126399194,0.0,0.040673783390224434,0.03285963883139557,0,240.26923076923086,54.43269230769234,14765,49482,23399.305613195,52.0,483.2407171490006,0.0
GOOG,calibrated_side_gamma,nominal_hawkes,0.6237547064140724,0.6237547064140724,0.02,483.2407171490006,3.0,3.0,4915,2459,2456,0.09932904894709187,151.08999999999583,0.0,232317.13140398994,0.010155729477246007,0.7347378614608583,0.016648987797903733,0.23845742126399194,0.0,0.04067945939777273,0.032864083053605116,0,240.26923076923086,54.43269230769234,14765,49482,23399.305613195,52.0,483.2407171490006,0.0
GOOG,calibrated_side_gamma,robust_gamma,0.6237547064140724,0.6237547064140724,0.02,483.2407171490006,3.0,3.0,4915,2459,2456,0.09932904894709187,151.08999999999583,0.0,232317.13140398994,0.010155729477246007,0.7347378614608583,0.016648987797903733,0.23845742126399194,0.0,0.040687995446879004,0.03287076664214834,0,240.26923076923086,54.43269230769234,14765,49482,23399.305613195,52.0,483.2407171490006,0.0
GOOG,calibrated_side_gamma,robust_gamma_abs,0.6237547064140724,0.6237547064140724,0.02,483.2407171490006,3.0,3.0,4915,2459,2456,0.09932904894709187,151.08999999999583,0.0,232317.13140398994,0.010155729477246007,0.7347378614608583,0.016648987797903733,0.23845742126399194,0.0,0.04072483431276464,0.0328996108789756,0,240.26923076923086,54.43269230769234,14765,49482,23399.305613195,52.0,483.2407171490006,0.0
GOOG,calibrated_side_gamma,liquidity_guard,0.6237547064140724,0.6237547064140724,0.02,483.2407171490006,3.0,3.0,4915,2459,2456,0.09932904894709187,151.08999999999583,0.0,232317.13140398994,0.010155729477246007,0.7347378614608583,0.016648987797903733,0.23845742126399194,0.0,0.04072483431276464,0.0328996108789756,0,240.26923076923086,54.43269230769234,14765,49482,23399.305613195,52.0,483.2407171490006,0.0
GOOG,near_critical_stress,as_poisson,0.97,0.97,0.02,483.2407171490006,3.0,3.0,4915,2459,2456,0.09932904894709187,151.08999999999583,0.0,232317.13140398994,0.010155729477246007,0.7347378614608583,0.016648987797903733,0.23845742126399194,0.0,0.040673783390224434,0.03285963883139557,0,240.26923076923086,54.43269230769234,14765,49482,23399.305613195,52.0,483.2407171490006,0.0
GOOG,near_critical_stress,nominal_hawkes,0.97,0.97,0.02,483.2407171490006,3.0,3.0,4915,2459,2456,0.09932904894709187,151.08999999999583,0.0,232317.13140398994,0.010155729477246007,0.7347378614608583,0.016648987797903733,0.23845742126399194,0.0,0.042013553969003054,0.03390865754950569,0,240.26923076923086,54.43269230769234,14765,49482,23399.305613195,52.0,483.2407171490006,0.0
GOOG,near_critical_stress,robust_gamma,0.97,0.97,0.02,483.2407171490006,3.0,3.0,4915,2459,2456,0.09932904894709187,151.08999999999583,0.0,232317.13140398994,0.010155729477246007,0.7347378614608583,0.016648987797903733,0.23845742126399194,0.0,0.04335618458933909,0.03495991563394938,0,240.26923076923086,54.43269230769234,14765,49482,23399.305613195,52.0,483.2407171490006,0.0
GOOG,near_critical_stress,robust_gamma_abs,0.97,0.97,0.02,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.17037037037037092,0.17037037037037092,0,0.0,0.0,9850,49482,23399.305613195,52.0,483.2407171490006,-483.2407171490006
GOOG,near_critical_stress,liquidity_guard,0.97,0.97,0.02,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.4999999999999953,1.4999999999999953,0,0.0,0.0,9850,49482,23399.305613195,52.0,483.2407171490006,-483.2407171490006
INTC,calibrated_side_gamma,as_poisson,0.5296770808560964,0.5296770808560964,0.02,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.020004733727810555,0.020004733727810555,0,0.0,0.0,2298,80000,2699.001188497001,100.0,0.0,0.0
INTC,calibrated_side_gamma,nominal_hawkes,0.5296770808560964,0.5296770808560964,0.02,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.020009041442198526,0.020009041442198526,0,0.0,0.0,2298,80000,2699.001188497001,100.0,0.0,0.0
INTC,calibrated_side_gamma,robust_gamma,0.5296770808560964,0.5296770808560964,0.02,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02001808288439739,0.02001808288439739,0,0.0,0.0,2298,80000,2699.001188497001,100.0,0.0,0.0
INTC,calibrated_side_gamma,robust_gamma_abs,0.5296770808560964,0.5296770808560964,0.02,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.020047489248294074,0.020047489248294074,0,0.0,0.0,2298,80000,2699.001188497001,100.0,0.0,0.0
INTC,calibrated_side_gamma,liquidity_guard,0.5296770808560964,0.5296770808560964,0.02,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.020047489248294074,0.020047489248294074,0,0.0,0.0,2298,80000,2699.001188497001,100.0,0.0,0.0
INTC,near_critical_stress,as_poisson,0.97,0.97,0.02,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.020004733727810555,0.020004733727810555,0,0.0,0.0,2298,80000,2699.001188497001,100.0,0.0,0.0
INTC,near_critical_stress,nominal_hawkes,0.97,0.97,0.02,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.022222222222222088,0.022222222222222088,0,0.0,0.0,2298,80000,2699.001188497001,100.0,0.0,0.0
INTC,near_critical_stress,robust_gamma,0.97,0.97,0.02,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.024444444444444265,0.024444444444444265,0,0.0,0.0,2298,80000,2699.001188497001,100.0,0.0,0.0
INTC,near_critical_stress,robust_gamma_abs,0.97,0.97,0.02,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.17037037037037178,0.17037037037037178,0,0.0,0.0,2298,80000,2699.001188497001,100.0,0.0,0.0
INTC,near_critical_stress,liquidity_guard,0.97,0.97,0.02,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.5,1.5,0,0.0,0.0,2298,80000,2699.001188497001,100.0,0.0,0.0
MSFT,calibrated_side_gamma,as_poisson,0.5463582850875636,0.5463582850875636,0.02,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.020004733727810784,0.020004733727810784,0,0.0,0.0,2461,80000,3090.4872282549986,200.0,0.0,0.0
MSFT,calibrated_side_gamma,nominal_hawkes,0.5463582850875636,0.5463582850875636,0.02,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02000971860718014,0.02000971860718014,0,0.0,0.0,2461,80000,3090.4872282549986,200.0,0.0,0.0
MSFT,calibrated_side_gamma,robust_gamma,0.5463582850875636,0.5463582850875636,0.02,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02001943721435988,0.02001943721435988,0,0.0,0.0,2461,80000,3090.4872282549986,200.0,0.0,0.0
MSFT,calibrated_side_gamma,robust_gamma_abs,0.5463582850875636,0.5463582850875636,0.02,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02005256566846443,0.02005256566846443,0,0.0,0.0,2461,80000,3090.4872282549986,200.0,0.0,0.0
MSFT,calibrated_side_gamma,liquidity_guard,0.5463582850875636,0.5463582850875636,0.02,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02005256566846443,0.02005256566846443,0,0.0,0.0,2461,80000,3090.4872282549986,200.0,0.0,0.0
MSFT,near_critical_stress,as_poisson,0.97,0.97,0.02,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.020004733727810784,0.020004733727810784,0,0.0,0.0,2461,80000,3090.4872282549986,200.0,0.0,0.0
MSFT,near_critical_stress,nominal_hawkes,0.97,0.97,0.02,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02222222222222223,0.02222222222222223,0,0.0,0.0,2461,80000,3090.4872282549986,200.0,0.0,0.0
MSFT,near_critical_stress,robust_gamma,0.97,0.97,0.02,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.024444444444444328,0.024444444444444328,0,0.0,0.0,2461,80000,3090.4872282549986,200.0,0.0,0.0
MSFT,near_critical_stress,robust_gamma_abs,0.97,0.97,0.02,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.17037037037037234,0.17037037037037234,0,0.0,0.0,2461,80000,3090.4872282549986,200.0,0.0,0.0
MSFT,near_critical_stress,liquidity_guard,0.97,0.97,0.02,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.5,1.5,0,0.0,0.0,2461,80000,3090.4872282549986,200.0,0.0,0.0
