scenario_id,path_id,rho_hat,rho_true,epsilon,policy,terminal_wealth,final_inventory,abs_inventory,fills,fill_rate,spread_capture,adverse_selection,inventory_penalty,arrival_simulator,dt,steps,audit_horizon,mean_total_events
rho0.920_eps0.0200_discrete,53,0.92,0.93,0.02,as_poisson,-4.8876578223493325,0.0,0.0,83.0,0.2075,2.5002177514792883,7.20098757930964,58.53999999999999,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,54,0.92,0.93,0.02,as_poisson,-2.3071003799363416,0.0,0.0,97.0,0.2425,2.1852792899408264,7.1480817134494,14.519999999999936,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,55,0.92,0.93,0.02,as_poisson,-8.876911504416066,-2.0,2.0,71.0,0.1775,2.5001798816568024,5.7586493264471414,79.74000000000007,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,56,0.92,0.93,0.02,as_poisson,-5.615115885040477,1.0,1.0,113.0,0.2825,2.7902982248520667,9.017269014508145,19.6999999999999,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,57,0.92,0.93,0.02,as_poisson,-2.2997831548700938,1.0,1.0,29.0,0.0725,0.72507100591716,2.4740449950252383,34.29999999999997,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,58,0.92,0.93,0.02,as_poisson,-13.244909638556747,5.0,5.0,72.0,0.18,2.9051893491124248,6.278730859647567,103.3199999999999,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,59,0.92,0.93,0.02,as_poisson,-4.161372786344993,1.0,1.0,61.0,0.1525,1.9401562130177517,5.2019025923016216,41.820000000000334,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,60,0.92,0.93,0.02,as_poisson,-21.052624045615666,2.0,2.0,124.0,0.31,5.090345562130171,12.060925795006511,143.42000000000053,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,61,0.92,0.93,0.02,as_poisson,-4.4281995210124805,0.0,0.0,105.0,0.2625,2.780302958579879,8.85054574577822,37.600000000000044,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,62,0.92,0.93,0.02,as_poisson,-15.823939110619598,-4.0,4.0,83.0,0.2075,3.6652224852070963,6.799373289798069,168.9600000000003,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,63,0.92,0.93,0.02,as_poisson,-4.060963735193047,-3.0,3.0,69.0,0.1725,1.500175147928994,5.9242178171427895,18.299999999999955,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,64,0.92,0.93,0.02,as_poisson,-12.094558058075895,-2.0,2.0,99.0,0.2475,3.2602556213017713,8.803004846192025,80.13999999999992,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,65,0.92,0.93,0.02,as_poisson,-12.862264885991134,-1.0,1.0,198.0,0.495,7.975643786982238,19.492006216016875,66.5399999999999,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,66,0.92,0.93,0.02,as_poisson,-3.009133771270533,0.0,0.0,66.0,0.165,1.5601798816568049,5.110385690434583,34.08,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,67,0.92,0.93,0.02,as_poisson,-2.1318844144342033,2.0,2.0,28.0,0.07,0.7400804733727812,2.131610280754444,26.319999999999897,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,68,0.92,0.93,0.02,as_poisson,-3.0223732406795896,3.0,3.0,72.0,0.18,1.6801846153846158,5.76165034576529,18.599999999999948,discrete,0.02,400,8.0,226.7875
