ticker,scenario,policy,rho_hat,rho_true,epsilon,terminal_wealth,final_inventory,abs_inventory,fills,bid_fills,ask_fills,fill_rate,spread_capture,adverse_selection,inventory_penalty,no_quote_side_time_frac,full_no_quote_time_frac,quote_updates,n_events,horizon,size_scale,nominal_terminal_wealth,wealth_diff_vs_nominal
AMZN,near_critical_stress,robust_gamma_abs,0.97,0.97,0.02,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,10807,57515,23399.941900032994,66.0,291.3939276709234,-291.3939276709234
AMZN,near_critical_stress,liquidity_guard,0.97,0.97,0.02,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,10807,57515,23399.941900032994,66.0,291.3939276709234,-291.3939276709234
GOOG,calibrated_side_gamma,as_poisson,0.6237547064140724,0.6237547064140724,0.02,628.3802192009838,-3.0,3.0,3593,1795,1798,0.07261226304514773,362.6099999999997,0.0,217439.12319604473,0.2199994751228691,0.0,13443,49482,23399.305613195,52.0,628.3802192009838,0.0
GOOG,calibrated_side_gamma,nominal_hawkes,0.6237547064140724,0.6237547064140724,0.02,628.3802192009838,-3.0,3.0,3593,1795,1798,0.07261226304514773,362.6099999999997,0.0,217439.12319604473,0.2199994751228691,0.0,13443,49482,23399.305613195,52.0,628.3802192009838,0.0
GOOG,calibrated_side_gamma,robust_gamma,0.6237547064140724,0.6237547064140724,0.02,628.3802192009838,-3.0,3.0,3593,1795,1798,0.07261226304514773,362.6099999999997,0.0,217439.12319604473,0.2199994751228691,0.0,13443,49482,23399.305613195,52.0,628.3802192009838,0.0
GOOG,calibrated_side_gamma,robust_gamma_abs,0.6237547064140724,0.6237547064140724,0.02,628.3802192009838,-3.0,3.0,3593,1795,1798,0.07261226304514773,362.6099999999997,0.0,217439.12319604473,0.2199994751228691,0.0,13443,49482,23399.305613195,52.0,628.3802192009838,0.0
GOOG,calibrated_side_gamma,liquidity_guard,0.6237547064140724,0.6237547064140724,0.02,628.3802192009838,-3.0,3.0,3593,1795,1798,0.07261226304514773,362.6099999999997,0.0,217439.12319604473,0.2199994751228691,0.0,13443,49482,23399.305613195,52.0,628.3802192009838,0.0
GOOG,near_critical_stress,as_poisson,0.97,0.97,0.02,628.3802192009838,-3.0,3.0,3593,1795,1798,0.07261226304514773,362.6099999999997,0.0,217439.12319604473,0.2199994751228691,0.0,13443,49482,23399.305613195,52.0,628.3802192009838,0.0
GOOG,near_critical_stress,nominal_hawkes,0.97,0.97,0.02,628.3802192009838,-3.0,3.0,3593,1795,1798,0.07261226304514773,362.6099999999997,0.0,217439.12319604473,0.2199994751228691,0.0,13443,49482,23399.305613195,52.0,628.3802192009838,0.0
GOOG,near_critical_stress,robust_gamma,0.97,0.97,0.02,628.3802192009838,-3.0,3.0,3593,1795,1798,0.07261226304514773,362.6099999999997,0.0,217439.12319604473,0.2199994751228691,0.0,13443,49482,23399.305613195,52.0,628.3802192009838,0.0
GOOG,near_critical_stress,robust_gamma_abs,0.97,0.97,0.02,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,9850,49482,23399.305613195,52.0,628.3802192009838,-628.3802192009838
GOOG,near_critical_stress,liquidity_guard,0.97,0.97,0.02,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,9850,49482,23399.305613195,52.0,628.3802192009838,-628.3802192009838
INTC,calibrated_side_gamma,as_poisson,0.5296770808560964,0.5296770808560964,0.02,0.6688342904131042,-2.0,2.0,438,218,220,0.005475,2.6550000000000047,0.0,19804.66283834764,0.147447303937127,0.0,2736,80000,2699.001188497001,100.0,0.6688342904131042,0.0
INTC,calibrated_side_gamma,nominal_hawkes,0.5296770808560964,0.5296770808560964,0.02,0.6688342904131042,-2.0,2.0,438,218,220,0.005475,2.6550000000000047,0.0,19804.66283834764,0.147447303937127,0.0,2736,80000,2699.001188497001,100.0,0.6688342904131042,0.0
INTC,calibrated_side_gamma,robust_gamma,0.5296770808560964,0.5296770808560964,0.02,0.6688342904131042,-2.0,2.0,438,218,220,0.005475,2.6550000000000047,0.0,19804.66283834764,0.147447303937127,0.0,2736,80000,2699.001188497001,100.0,0.6688342904131042,0.0
INTC,calibrated_side_gamma,robust_gamma_abs,0.5296770808560964,0.5296770808560964,0.02,0.6688342904131042,-2.0,2.0,438,218,220,0.005475,2.6550000000000047,0.0,19804.66283834764,0.147447303937127,0.0,2736,80000,2699.001188497001,100.0,0.6688342904131042,0.0
INTC,calibrated_side_gamma,liquidity_guard,0.5296770808560964,0.5296770808560964,0.02,0.6688342904131042,-2.0,2.0,438,218,220,0.005475,2.6550000000000047,0.0,19804.66283834764,0.147447303937127,0.0,2736,80000,2699.001188497001,100.0,0.6688342904131042,0.0
INTC,near_critical_stress,as_poisson,0.97,0.97,0.02,0.6688342904131042,-2.0,2.0,438,218,220,0.005475,2.6550000000000047,0.0,19804.66283834764,0.147447303937127,0.0,2736,80000,2699.001188497001,100.0,0.6688342904131042,0.0
INTC,near_critical_stress,nominal_hawkes,0.97,0.97,0.02,0.6688342904131042,-2.0,2.0,438,218,220,0.005475,2.6550000000000047,0.0,19804.66283834764,0.147447303937127,0.0,2736,80000,2699.001188497001,100.0,0.6688342904131042,0.0
INTC,near_critical_stress,robust_gamma,0.97,0.97,0.02,0.6688342904131042,-2.0,2.0,438,218,220,0.005475,2.6550000000000047,0.0,19804.66283834764,0.147447303937127,0.0,2736,80000,2699.001188497001,100.0,0.6688342904131042,0.0
INTC,near_critical_stress,robust_gamma_abs,0.97,0.97,0.02,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,2298,80000,2699.001188497001,100.0,0.6688342904131042,-0.6688342904131042
INTC,near_critical_stress,liquidity_guard,0.97,0.97,0.02,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,2298,80000,2699.001188497001,100.0,0.6688342904131042,-0.6688342904131042
MSFT,calibrated_side_gamma,as_poisson,0.5463582850875636,0.5463582850875636,0.02,-1.6504438099229535,-3.0,3.0,523,260,263,0.0065375,3.03500000000005,0.0,29621.775239692142,0.20158786392551478,0.0,2984,80000,3090.4872282549986,200.0,-1.6504438099229535,0.0
MSFT,calibrated_side_gamma,nominal_hawkes,0.5463582850875636,0.5463582850875636,0.02,-1.6504438099229535,-3.0,3.0,523,260,263,0.0065375,3.03500000000005,0.0,29621.775239692142,0.20158786392551478,0.0,2984,80000,3090.4872282549986,200.0,-1.6504438099229535,0.0
MSFT,calibrated_side_gamma,robust_gamma,0.5463582850875636,0.5463582850875636,0.02,-1.6504438099229535,-3.0,3.0,523,260,263,0.0065375,3.03500000000005,0.0,29621.775239692142,0.20158786392551478,0.0,2984,80000,3090.4872282549986,200.0,-1.6504438099229535,0.0
MSFT,calibrated_side_gamma,robust_gamma_abs,0.5463582850875636,0.5463582850875636,0.02,-1.6504438099229535,-3.0,3.0,523,260,263,0.0065375,3.03500000000005,0.0,29621.775239692142,0.20158786392551478,0.0,2984,80000,3090.4872282549986,200.0,-1.6504438099229535,0.0
MSFT,calibrated_side_gamma,liquidity_guard,0.5463582850875636,0.5463582850875636,0.02,-1.6504438099229535,-3.0,3.0,523,260,263,0.0065375,3.03500000000005,0.0,29621.775239692142,0.20158786392551478,0.0,2984,80000,3090.4872282549986,200.0,-1.6504438099229535,0.0
MSFT,near_critical_stress,as_poisson,0.97,0.97,0.02,-1.6504438099229535,-3.0,3.0,523,260,263,0.0065375,3.03500000000005,0.0,29621.775239692142,0.20158786392551478,0.0,2984,80000,3090.4872282549986,200.0,-1.6504438099229535,0.0
MSFT,near_critical_stress,nominal_hawkes,0.97,0.97,0.02,-1.6504438099229535,-3.0,3.0,523,260,263,0.0065375,3.03500000000005,0.0,29621.775239692142,0.20158786392551478,0.0,2984,80000,3090.4872282549986,200.0,-1.6504438099229535,0.0
MSFT,near_critical_stress,robust_gamma,0.97,0.97,0.02,-1.6504438099229535,-3.0,3.0,523,260,263,0.0065375,3.03500000000005,0.0,29621.775239692142,0.20158786392551478,0.0,2984,80000,3090.4872282549986,200.0,-1.6504438099229535,0.0
MSFT,near_critical_stress,robust_gamma_abs,0.97,0.97,0.02,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,2461,80000,3090.4872282549986,200.0,-1.6504438099229535,1.6504438099229535
MSFT,near_critical_stress,liquidity_guard,0.97,0.97,0.02,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,2461,80000,3090.4872282549986,200.0,-1.6504438099229535,1.6504438099229535
