ticker,scenario,policy,rho_hat,rho_true,epsilon,levels,terminal_wealth,final_inventory,abs_inventory,fills,bid_fills,ask_fills,fill_rate,spread_capture,adverse_selection,inventory_penalty,join_l1_side_time_frac,improve_side_time_frac,depth_visible_side_time_frac,outside_depth_side_time_frac,no_quote_side_time_frac,full_no_quote_time_frac,mean_visible_depth_rank,mean_bid_offset,mean_ask_offset,crossing_clamp_count,queue_depletion_from_exec,queue_depletion_from_visible_depth,quote_updates,n_events,horizon,size_scale,nominal_terminal_wealth,wealth_diff_vs_nominal
AMZN,calibrated_side_gamma,as_poisson,0.5473364111346355,0.5473364111346355,0.02,10,105.7851218522942,-4.0,4.0,1534,765,769,0.019175,46.49000000000012,0.0,48419.51259082116,0.05062718122629945,0.6937382618453124,0.0991860822856772,0.0,0.15644847464271094,0.0,1.84564076989034,0.03940860079506313,0.02808389387135633,0,777.122222222222,529.3128124547369,6847,80000,6230.327150104997,90.0,105.7851218522942,0.0
AMZN,calibrated_side_gamma,nominal_hawkes,0.5473364111346355,0.5473364111346355,0.02,10,105.7851218522942,-4.0,4.0,1534,765,769,0.019175,46.49000000000012,0.0,48419.51259082116,0.05062718122629945,0.6937382618453124,0.0991860822856772,0.0,0.15644847464271094,0.0,1.84564076989034,0.039411847344152054,0.028086149227562578,0,777.122222222222,529.3128124547369,6847,80000,6230.327150104997,90.0,105.7851218522942,0.0
AMZN,calibrated_side_gamma,robust_gamma,0.5473364111346355,0.5473364111346355,0.02,10,105.7851218522942,-4.0,4.0,1534,765,769,0.019175,46.49000000000012,0.0,48419.51259082116,0.05062718122629945,0.6937382618453124,0.0991860822856772,0.0,0.15644847464271094,0.0,1.84564076989034,0.03941815108611853,0.02809052839546608,0,777.122222222222,529.3128124547369,6847,80000,6230.327150104997,90.0,105.7851218522942,0.0
AMZN,calibrated_side_gamma,robust_gamma_abs,0.5473364111346355,0.5473364111346355,0.02,10,105.7851218522942,-4.0,4.0,1534,765,769,0.019175,46.49000000000012,0.0,48419.51259082116,0.05062718122629945,0.6937382618453124,0.0991860822856772,0.0,0.15644847464271094,0.0,1.84564076989034,0.03943969911805829,0.02810549767091557,0,777.122222222222,529.3128124547369,6847,80000,6230.327150104997,90.0,105.7851218522942,0.0
AMZN,calibrated_side_gamma,liquidity_guard,0.5473364111346355,0.5473364111346355,0.02,10,105.7851218522942,-4.0,4.0,1534,765,769,0.019175,46.49000000000012,0.0,48419.51259082116,0.05062718122629945,0.6937382618453124,0.0991860822856772,0.0,0.15644847464271094,0.0,1.84564076989034,0.03943969911805829,0.02810549767091557,0,777.122222222222,529.3128124547369,6847,80000,6230.327150104997,90.0,105.7851218522942,0.0
AMZN,near_critical_stress,as_poisson,0.97,0.97,0.02,10,105.7851218522942,-4.0,4.0,1534,765,769,0.019175,46.49000000000012,0.0,48419.51259082116,0.05062718122629945,0.6937382618453124,0.0991860822856772,0.0,0.15644847464271094,0.0,1.84564076989034,0.03940860079506313,0.02808389387135633,0,777.122222222222,529.3128124547369,6847,80000,6230.327150104997,90.0,105.7851218522942,0.0
AMZN,near_critical_stress,nominal_hawkes,0.97,0.97,0.02,10,105.7851218522942,-4.0,4.0,1534,765,769,0.019175,46.49000000000012,0.0,48419.51259082116,0.05062718122629945,0.6937382618453124,0.0991860822856772,0.0,0.15644847464271094,0.0,1.84564076989034,0.04084072581395395,0.029078781661828795,0,777.122222222222,529.3128124547369,6847,80000,6230.327150104997,90.0,105.7851218522942,0.0
AMZN,near_critical_stress,robust_gamma,0.97,0.97,0.02,10,105.7851218522942,-4.0,4.0,1534,765,769,0.019175,46.49000000000012,0.0,48419.51259082116,0.05062718122629945,0.6937382618453124,0.0991860822856772,0.0,0.15644847464271094,0.0,1.84564076989034,0.04227590802572107,0.030075793263998788,0,777.122222222222,529.3128124547369,6847,80000,6230.327150104997,90.0,105.7851218522942,0.0
AMZN,near_critical_stress,robust_gamma_abs,0.97,0.97,0.02,10,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.17037037037037056,0.17037037037037056,0,0.0,0.0,5313,80000,6230.327150104997,90.0,105.7851218522942,-105.7851218522942
AMZN,near_critical_stress,liquidity_guard,0.97,0.97,0.02,10,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.5,1.5,0,0.0,0.0,5313,80000,6230.327150104997,90.0,105.7851218522942,-105.7851218522942
GOOG,calibrated_side_gamma,as_poisson,0.6237547064140724,0.6237547064140724,0.02,10,250.69481724626823,-1.0,1.0,2315,1157,1158,0.0289375,72.05499999999859,0.0,126360.73101493102,0.006182304216350006,0.7293917131037939,0.0069207797408191146,0.0,0.25750520293903695,0.0,1.6181365659071953,0.042482087969476806,0.031881035258597874,0,225.5333333333333,96.90636786270949,10639,80000,12288.811362451,60.0,250.69481724626823,0.0
GOOG,calibrated_side_gamma,nominal_hawkes,0.6237547064140724,0.6237547064140724,0.02,10,250.69481724626823,-1.0,1.0,2315,1157,1158,0.0289375,72.05499999999859,0.0,126360.73101493102,0.006182304216350006,0.7293917131037939,0.0069207797408191146,0.0,0.25750520293903695,0.0,1.6181365659071953,0.042487902514436286,0.0318853614654626,0,225.5333333333333,96.90636786270949,10639,80000,12288.811362451,60.0,250.69481724626823,0.0
GOOG,calibrated_side_gamma,robust_gamma,0.6237547064140724,0.6237547064140724,0.02,10,250.69481724626823,-1.0,1.0,2315,1157,1158,0.0289375,72.05499999999859,0.0,126360.73101493102,0.006182304216350006,0.7293917131037939,0.0069207797408191146,0.0,0.25750520293903695,0.0,1.6181365659071953,0.04249664690754794,0.03189186757277908,0,225.5333333333333,96.90636786270949,10639,80000,12288.811362451,60.0,250.69481724626823,0.0
GOOG,calibrated_side_gamma,robust_gamma_abs,0.6237547064140724,0.6237547064140724,0.02,10,250.69481724626823,-1.0,1.0,2315,1157,1158,0.0289375,72.05499999999859,0.0,126360.73101493102,0.006182304216350006,0.7293917131037939,0.0069207797408191146,0.0,0.25750520293903695,0.0,1.6181365659071953,0.0425343849197217,0.031919945857229716,0,225.5333333333333,96.90636786270949,10639,80000,12288.811362451,60.0,250.69481724626823,0.0
GOOG,calibrated_side_gamma,liquidity_guard,0.6237547064140724,0.6237547064140724,0.02,10,250.69481724626823,-1.0,1.0,2315,1157,1158,0.0289375,72.05499999999859,0.0,126360.73101493102,0.006182304216350006,0.7293917131037939,0.0069207797408191146,0.0,0.25750520293903695,0.0,1.6181365659071953,0.0425343849197217,0.031919945857229716,0,225.5333333333333,96.90636786270949,10639,80000,12288.811362451,60.0,250.69481724626823,0.0
GOOG,near_critical_stress,as_poisson,0.97,0.97,0.02,10,250.69481724626823,-1.0,1.0,2315,1157,1158,0.0289375,72.05499999999859,0.0,126360.73101493102,0.006182304216350006,0.7293917131037939,0.0069207797408191146,0.0,0.25750520293903695,0.0,1.6181365659071953,0.042482087969476806,0.031881035258597874,0,225.5333333333333,96.90636786270949,10639,80000,12288.811362451,60.0,250.69481724626823,0.0
GOOG,near_critical_stress,nominal_hawkes,0.97,0.97,0.02,10,250.69481724626823,-1.0,1.0,2315,1157,1158,0.0289375,72.05499999999859,0.0,126360.73101493102,0.006182304216350006,0.7293917131037939,0.0069207797408191146,0.0,0.25750520293903695,0.0,1.6181365659071953,0.043854559059358686,0.03290219751494217,0,225.5333333333333,96.90636786270949,10639,80000,12288.811362451,60.0,250.69481724626823,0.0
