policy,terminal_wealth,final_inventory,abs_inventory,fills,bid_fills,ask_fills,fill_rate,spread_capture,adverse_selection,inventory_penalty,no_quote_side_time_frac,full_no_quote_time_frac,quote_updates,n_events,path_id,rho_hat,rho_true,epsilon,horizon,decision_dt,scenario_id
liquidity_guard,-0.4427047365735076,6.0,6.0,136,71,65,0.84472049689441,5.3899999999999935,2.0369027193741545,52.18151970519316,0.1303918600670148,0.0,108,161,8,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
nominal_hawkes,-0.5198367527377599,2.0,2.0,24,13,11,1.0,0.7640624999999999,0.36460043453865865,21.248191093683623,0.00947100150039229,0.0,24,24,9,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma,-0.5157742527376712,2.0,2.0,24,13,11,1.0,0.7681250000000002,0.36460043453865865,21.248191093683623,0.00947100150039229,0.0,24,24,9,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma_abs,-0.412024252737794,2.0,2.0,24,13,11,1.0,0.8718750000000003,0.36460043453865865,21.248191093683623,0.00947100150039229,0.0,24,24,9,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
liquidity_guard,-0.412024252737794,2.0,2.0,24,13,11,1.0,0.8718750000000003,0.36460043453865865,21.248191093683623,0.00947100150039229,0.0,24,24,9,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
nominal_hawkes,-2.404820753809491,6.0,6.0,78,42,36,0.8297872340425532,3.3131249999999945,1.1643726818578557,71.6145129341565,0.23304435459964232,0.0,77,94,10,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma,-2.391695753810114,6.0,6.0,78,42,36,0.8297872340425532,3.3262499999999964,1.1643726818578557,71.6145129341565,0.23304435459964232,0.0,77,94,10,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma_abs,-2.076695753809491,6.0,6.0,78,42,36,0.8297872340425532,3.641249999999995,1.1643726818578557,71.6145129341565,0.23304435459964232,0.0,77,94,10,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
liquidity_guard,-2.076695753809491,6.0,6.0,78,42,36,0.8297872340425532,3.641249999999995,1.1643726818578557,71.6145129341565,0.23304435459964232,0.0,77,94,10,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
nominal_hawkes,1.2974954913024677,-2.0,2.0,164,81,83,0.9590643274853801,4.371874999999991,2.462073384055003,24.991126919378605,0.037883086356651385,0.0,117,171,11,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma,1.32437049130169,-2.0,2.0,164,81,83,0.9590643274853801,4.398749999999987,2.462073384055003,24.991126919378605,0.037883086356651385,0.0,117,171,11,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma_abs,2.0443704913023715,-2.0,2.0,164,81,83,0.9590643274853801,5.118749999999993,2.462073384055003,24.991126919378605,0.037883086356651385,0.0,117,171,11,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
liquidity_guard,2.0443704913023715,-2.0,2.0,164,81,83,0.9590643274853801,5.118749999999993,2.462073384055003,24.991126919378605,0.037883086356651385,0.0,117,171,11,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
nominal_hawkes,-0.9334647117159482,-4.0,4.0,78,37,41,0.8764044943820225,2.657812499999998,1.1726542396342552,40.15303374848616,0.10634632344302275,0.0,70,89,12,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma,-0.920652211716237,-4.0,4.0,78,37,41,0.8764044943820225,2.6706249999999976,1.1726542396342552,40.15303374848616,0.10634632344302275,0.0,70,89,12,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma_abs,-0.6006522117159028,-4.0,4.0,78,37,41,0.8764044943820225,2.990624999999998,1.1726542396342552,40.15303374848616,0.10634632344302275,0.0,70,89,12,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
liquidity_guard,-0.6006522117159028,-4.0,4.0,78,37,41,0.8764044943820225,2.990624999999998,1.1726542396342552,40.15303374848616,0.10634632344302275,0.0,70,89,12,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
nominal_hawkes,0.5788037849477737,1.0,1.0,63,32,31,1.0,1.5853125,0.9550968456245812,9.926894645155215,0.00849766430561899,0.0,51,63,13,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
