policy,epsilon,rho,one_minus_rho,half_spread,raw_uncapped_half_spread,capped,smooth_region,finite_diff_d_half_drho,analytic_uncapped_d_half_drho,analytic_local_d_half_drho,abs_derivative_error,expected_critical_exponent
robust_gamma_abs,0.0025,0.85,0.15000000000000002,0.020237037037037036,0.020237037037037036,False,True,0.004148148202554884,0.004148148148148146,0.004148148148148146,5.4406738662915455e-11,4.0
nominal_hawkes,0.0025,0.92,0.07999999999999996,0.0203125,0.0203125,False,True,0.00781250024416233,0.007812500000000012,0.007812500000000012,2.4416231710067127e-10,3.0
robust_gamma,0.0025,0.92,0.07999999999999996,0.0203515625,0.0203515625,False,True,0.008789062774660936,0.008789062500000014,0.008789062500000014,2.7466092247796503e-10,3.0
robust_gamma_abs,0.0025,0.92,0.07999999999999996,0.021289062500000004,0.021289062500000004,False,True,0.04443359590148537,0.04443359375000009,0.04443359375000009,2.1514852815984753e-09,4.0
nominal_hawkes,0.0025,0.97,0.030000000000000027,0.02222222222222222,0.02222222222222222,False,True,0.14814818106998728,0.14814814814814775,0.14814814814814775,3.2921839532296104e-08,3.0
robust_gamma,0.0025,0.97,0.030000000000000027,0.022499999999999996,0.022499999999999996,False,True,0.16666670370382242,0.1666666666666662,0.1666666666666662,3.703715620306802e-08,3.0
robust_gamma_abs,0.0025,0.97,0.030000000000000027,0.04074074074074069,0.04074074074074069,False,True,2.000000718792734,1.9999999999999933,1.9999999999999933,7.187927404395111e-07,4.0
nominal_hawkes,0.0025,0.985,0.015000000000000013,0.028888888888888874,0.028888888888888874,False,True,1.1851862386839407,1.185185185185182,1.185185185185182,1.0534987586741096e-06,3.0
robust_gamma,0.0025,0.985,0.015000000000000013,0.02999999999999998,0.02999999999999998,False,True,1.3333345185195418,1.3333333333333297,1.3333333333333297,1.1851862120604295e-06,3.0
robust_gamma_abs,0.0025,0.985,0.015000000000000013,0.17703703703703663,0.17703703703703666,False,True,30.81485976410288,30.814814814814714,30.814814814814714,4.494928816711763e-05,4.0
nominal_hawkes,0.0025,0.995,0.0050000000000000044,0.09999999999999985,0.09999999999999985,False,True,32.000256001535945,31.99999999999991,31.99999999999991,0.0002560015360337786,3.0
robust_gamma,0.0025,0.995,0.0050000000000000044,0.10999999999999983,0.10999999999999983,False,True,36.00028800172802,35.9999999999999,35.9999999999999,0.000288001728122822,3.0
robust_gamma_abs,0.0025,0.995,0.0050000000000000044,1.5,4.09999999999999,True,False,0.0,2431.999999999992,0.0,0.0,4.0
nominal_hawkes,0.005,0.3,0.7,0.020004081632653062,0.020004081632653062,False,True,1.1661807630669035e-05,1.1661807580174929e-05,1.1661807580174929e-05,5.049410562796893e-14,3.0
robust_gamma,0.005,0.3,0.7,0.020005102040816326,0.020005102040816326,False,True,1.4577259538336294e-05,1.4577259475218661e-05,1.4577259475218661e-05,6.311763245847764e-14,3.0
robust_gamma_abs,0.005,0.3,0.7,0.020006997084548107,0.020006997084548107,False,True,2.415660154545334e-05,2.415660141607664e-05,2.415660141607664e-05,1.2937670005415056e-13,4.0
nominal_hawkes,0.005,0.5,0.5,0.020008,0.020008,False,True,3.200000004566347e-05,3.2e-05,3.2e-05,4.566347164757997e-14,3.0
robust_gamma,0.005,0.5,0.5,0.02001,0.02001,False,True,4.000000001371126e-05,3.9999999999999996e-05,3.9999999999999996e-05,1.3711261130384261e-14,3.0
robust_gamma_abs,0.005,0.5,0.5,0.020016000000000003,0.020016000000000003,False,True,8.000000002742252e-05,8e-05,8e-05,2.7422508708241367e-14,4.0
nominal_hawkes,0.005,0.7,0.30000000000000004,0.020022222222222223,0.020022222222222223,False,True,0.00014814814843706314,0.00014814814814814806,0.00014814814814814806,2.8891507784269133e-13,3.0
